Region,Province,geometry
1,Guangzhou,Guangdong Province,"c(113.23333,23.16667)"
2,Nanning,Guangxi Zhuang Autonomous Region,"c(108.19, 22.48)"
3,Haikou,Hainan Province,"c(110.35000,20.01667)"
4,Guiyang,Guizhou Province,"c(106.71667,26.56667)"
5,Kunming,Yunnan Province,"c(102.73333,25.05000)"
6,Fuzhou,Fujian Province,"c(119.30000,26.08333)"
8,Lhasa,Tibet Autonomous Region,"c(91.00000,29.60000)"
9,Chongqing,Chongqing Municipality,"c(106.45000, 29.56667)"
10,Chengdu,Sichuan Province,"c(104.06667,30.66667)"
11,Changsha,Hunan Province,"c(113.00000,28.21667)"
12,Hefei,Anhui Province,"c(117.17, 31.52)"
13,Wuhan,Hubei Province,"c(114.17, 30.35)"
14,Nanchang,Jiangxi Province,"c(115.90000,28.68333)"
15,Shanghai,Shanghai Municipality,"c(121.43333,34.50000)"
16,Hangzhou,Zhejiang Province,"c(120.20000,30.26667)"
17,Xi'an,Shanxi Province,"c(112.33, 37.54)"
18,Zhengzhou,Henan Province,"c(113.65000,34.76667)"
19,Nanjing,Jiangsu Province,"c(118.78333,32.05000)"
20,Xining,Qinghai Province,"c(101.75000,36.56667)"
21,Yinchuan,Ningxia Hui Autonomous Region,"c(106.26667,38.46667)"
22,Beijing,Beijing Municipality,"c(116.41667,39.91667)"
23,Shijiazhuang,Hebei Province,"c(114.48333,38.03333)"
24,Tianjin,Tianjin Municipality,"c(117.20000,39.13333)"
25,Urumqi,Xinjiang Uygur Autonomous Region,"c(87.68333,43.76667)"
26,Hohhot,Inner Mongolia Autonomous Region,"c(111.41, 40.48)"
27,Changchun,Jilin Province,"c(125.19, 43.54)"
28,Shenyang,Liaoning Province,"c(123.38333,41.80000)"
29,Harbin,Heilongjiang Province,"c(126.63333,45.75000)"