Region,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Beijing Municipality,,984,996,1040,1093,1081,1090,1104,1160,1202
Tianjin Municipality,,857,849,842,838,843,874,956,983,993
Hebei Province,,11944,12126,12529,12538,12898,13274,13563,14447,16205
Shanxi Province,,6043,6403,6885,8946,10042,10936,12776,14722,17167
Inner Mongolia Autonomous Region,,1730,1853,2174,2308,2443,2613,2767,3139,3605
Liaoning Province,,3954,4234,4429,4631,4779,5118,5523,6037,6987
Jilin Province,,4281,4493,4806,5103,5186,5600,5837,6184,6450
Heilongjiang Province,,1979,2802,3115,3261,4834,5620,6490,7202,8142
Shanghai Municipality,,753,764,757,759,761,764,766,751,672
Jiangsu Province,,4036,4068,4023,4020,4128,4325,4498,5013,5233
Zhejiang Province,,3269,3303,3344,3400,3698,3818,3989,4147,4417
Anhui Province,,8284,9119,10547,11507,12547,13343,13997,14974,16116
Fujian Province,,5188,5141,5167,5228,5414,5947,6974,7849,8566
Jiangxi Province,,8329,9465,9764,10650,11173,11633,12772,13021,12890
Shandong Province,,10027,10404,10770,11151,11573,12047,12405,12858,13503
Henan Province,,22822,24673,25578,26086,27452,27793,28603,29420,30214
Hubei Province,,5383,5398,5513,5746,6614,7415,7749,8544,9302
Hunan Province,,8272,8412,8560,9270,10165,10824,12692,13263,13929
Guangdong Province,,10178,10126,10731,11824,13396,15148,16806,18506,19271
Guangxi Zhuang Autonomous Region,,10173,11849,12946,13499,13535,13789,13942,14290,14590
Hainan Province,,1509,1556,1619,1739,2036,2210,2313,2520,2741
Chongqing Municipality,,2979,4170,4586,4728,4810,5248,5544,7096,7575
Sichuan Province,,5981,6487,6959,7257,8586,8847,9282,12437,13993
Guizhou Province,,7818,8520,9275,10632,11529,12008,12422,12862,13107
Yunnan Province,,11673,12413,12608,12845,13020,13320,14059,15826,16573
Tibet Autonomous Region,,805,826,829,841,857,860,872,884,885
Shaanxi Province,,5507,5851,6574,7356,7994,8867,9710,11583,14185
Gansu Province,,6924,8052,8979,9640,10336,10907,11582,12637,13424
Qinghai Province,,889,978,1114,1250,1425,1533,1792,2047,2556
Ningxia Hui Autonomous Region,,1536,1693,1763,1850,1896,1942,2027,2131,2202
Xinjiang Uygur Autonomous Region,,3526,3501,3551,3533,3534,3536,3598,3651,4159
Data Sources£ºNational Bureau of Statistics,,,,,,,,,,